"행정구역별","유형별","항목","단위","2024 년",
"성동구","개인->법인","면적[천㎡]","천㎡","18",
"성동구","개인->기타","동(호)수[동(호)수]","동(호)수","15",
"성동구","개인->기타","면적[천㎡]","천㎡","1",
"성동구","법인->개인","동(호)수[동(호)수]","동(호)수","1388",
"성동구","법인->개인","면적[천㎡]","천㎡","93",
"성동구","법인->법인","동(호)수[동(호)수]","동(호)수","80",
"성동구","법인->법인","면적[천㎡]","천㎡","5",
"성동구","법인->기타","동(호)수[동(호)수]","동(호)수","1",
"성동구","법인->기타","면적[천㎡]","천㎡","0",
"성동구","기타->개인","동(호)수[동(호)수]","동(호)수","48",
"성동구","기타->개인","면적[천㎡]","천㎡","3",
"성동구","기타->법인","동(호)수[동(호)수]","동(호)수","1",
"성동구","기타->법인","면적[천㎡]","천㎡","1",
"성동구","기타->기타","동(호)수[동(호)수]","동(호)수","8",
"성동구","기타->기타","면적[천㎡]","천㎡","1",
"성동구","거래규모","동(호)수[동(호)수]","동(호)수","5650",
"성동구","거래규모","면적[천㎡]","천㎡","412",
"성동구","20㎡이하","동(호)수[동(호)수]","동(호)수","131",
"성동구","20㎡이하","면적[천㎡]","천㎡","2",
"성동구","21~40㎡","동(호)수[동(호)수]","동(호)수","826",
"성동구","21~40㎡","면적[천㎡]","천㎡","25",
"성동구","41~60㎡","동(호)수[동(호)수]","동(호)수","1857",
"성동구","41~60㎡","면적[천㎡]","천㎡","106",
"성동구","61~85㎡","동(호)수[동(호)수]","동(호)수","2219",
"성동구","61~85㎡","면적[천㎡]","천㎡","178",
"성동구","86~100㎡","동(호)수[동(호)수]","동(호)수","53",
"성동구","86~100㎡","면적[천㎡]","천㎡","5",
"성동구","101~135㎡","동(호)수[동(호)수]","동(호)수","354",
"성동구","101~135㎡","면적[천㎡]","천㎡","41",
"성동구","136~165㎡","동(호)수[동(호)수]","동(호)수","86",
"성동구","136~165㎡","면적[천㎡]","천㎡","13",
"성동구","166~198㎡","동(호)수[동(호)수]","동(호)수","32",
"성동구","166~198㎡","면적[천㎡]","천㎡","6",
"성동구","198㎡초과","동(호)수[동(호)수]","동(호)수","92",
"성동구","198㎡초과","면적[천㎡]","천㎡","37",
"성동구","거래원인","동(호)수[동(호)수]","동(호)수","5650",
"성동구","거래원인","면적[천㎡]","천㎡","412",
"성동구","매매","동(호)수[동(호)수]","동(호)수","3504",
"성동구","매매","면적[천㎡]","천㎡","281",
"성동구","판결","동(호)수[동(호)수]","동(호)수","19",
"성동구","판결","면적[천㎡]","천㎡","2",
"성동구","교환","동(호)수[동(호)수]","동(호)수","5",
"성동구","교환","면적[천㎡]","천㎡","0",
"성동구","증여","동(호)수[동(호)수]","동(호)수","580",
"성동구","증여","면적[천㎡]","천㎡","29",
"성동구","분양권","동(호)수[동(호)수]","동(호)수","0",
"성동구","분양권","면적[천㎡]","천㎡","0",
"성동구","분양권전매","동(호)수[동(호)수]","동(호)수","47",
"성동구","분양권전매","면적[천㎡]","천㎡","3",
"성동구","기타","동(호)수[동(호)수]","동(호)수","0",
"성동구","기타","면적[천㎡]","천㎡","0",
"성동구","기타소유권이전","동(호)수[동(호)수]","동(호)수","1495",
"성동구","기타소유권이전","면적[천㎡]","천㎡","97",
"성동구","주택유형","동(호)수[동(호)수]","동(호)수","5650",
"성동구","주택유형","면적[천㎡]","천㎡","412",
"성동구","단독주택","동(호)수[동(호)수]","동(호)수","194",
"성동구","단독주택","면적[천㎡]","천㎡","35",
"성동구","다가구주택","동(호)수[동(호)수]","동(호)수","80",
"성동구","다가구주택","면적[천㎡]","천㎡","16",
"성동구","다세대주택","동(호)수[동(호)수]","동(호)수","619",
"성동구","다세대주택","면적[천㎡]","천㎡","23",
"성동구","연립주택","동(호)수[동(호)수]","동(호)수","129",
"성동구","연립주택","면적[천㎡]","천㎡","7",
"성동구","아파트","동(호)수[동(호)수]","동(호)수","4628",
"성동구","아파트","면적[천㎡]","천㎡","332",
"광진구","매입자거주지","동(호)수[동(호)수]","동(호)수","4389",
"광진구","매입자거주지","면적[천㎡]","천㎡","308",
"광진구","관할 시군구내","동(호)수[동(호)수]","동(호)수","1652",
"광진구","관할 시군구내","면적[천㎡]","천㎡","131",
"광진구","관할 시도내","동(호)수[동(호)수]","동(호)수","1580",
"광진구","관할 시도내","면적[천㎡]","천㎡","112",
"광진구","관할 시도외 서울","동(호)수[동(호)수]","동(호)수","0",
"광진구","관할 시도외 서울","면적[천㎡]","천㎡","0",
"광진구","관할 시도외 기타","동(호)수[동(호)수]","동(호)수","1157",
"광진구","관할 시도외 기타","면적[천㎡]","천㎡","65",
"광진구","거래주체","동(호)수[동(호)수]","동(호)수","4389",
"광진구","거래주체","면적[천㎡]","천㎡","308",
"광진구","개인->개인","동(호)수[동(호)수]","동(호)수","3475",
"광진구","개인->개인","면적[천㎡]","천㎡","236",
"광진구","개인->법인","동(호)수[동(호)수]","동(호)수","73",
"광진구","개인->법인","면적[천㎡]","천㎡","14",
"광진구","개인->기타","동(호)수[동(호)수]","동(호)수","126",
"광진구","개인->기타","면적[천㎡]","천㎡","9",
