행정구역별,유형별,항목,단위,2020 년,2021 년,2022 년,2023 년,2024 년
중구,21~40㎡,동(호)수[동(호)수],동(호)수,825,916,622,307,327
중구,21~40㎡,면적[천㎡],천㎡,24,28,20,9,9
중구,41~60㎡,동(호)수[동(호)수],동(호)수,1174,730,787,296,424
중구,41~60㎡,면적[천㎡],천㎡,60,37,40,16,23
중구,61~85㎡,동(호)수[동(호)수],동(호)수,619,363,127,242,387
중구,61~85㎡,면적[천㎡],천㎡,49,28,10,19,31
중구,86~100㎡,동(호)수[동(호)수],동(호)수,46,38,18,25,19
중구,86~100㎡,면적[천㎡],천㎡,4,4,2,2,2
중구,101~135㎡,동(호)수[동(호)수],동(호)수,281,141,38,105,152
중구,101~135㎡,면적[천㎡],천㎡,33,17,5,12,18
중구,136~165㎡,동(호)수[동(호)수],동(호)수,88,54,18,29,40
중구,136~165㎡,면적[천㎡],천㎡,13,8,3,4,6
중구,166~198㎡,동(호)수[동(호)수],동(호)수,56,32,12,25,22
중구,166~198㎡,면적[천㎡],천㎡,10,6,2,4,4
중구,198㎡초과,동(호)수[동(호)수],동(호)수,92,90,44,45,41
중구,198㎡초과,면적[천㎡],천㎡,34,32,14,19,14
중구,거래원인,동(호)수[동(호)수],동(호)수,3399,2626,1806,1235,1565
중구,거래원인,면적[천㎡],천㎡,230,163,96,88,109
중구,매매,동(호)수[동(호)수],동(호)수,1964,1327,712,940,1306
중구,매매,면적[천㎡],천㎡,152,101,46,71,97
중구,판결,동(호)수[동(호)수],동(호)수,18,11,11,9,32
중구,판결,면적[천㎡],천㎡,2,1,1,0,1
중구,교환,동(호)수[동(호)수],동(호)수,5,9,0,2,6
중구,교환,면적[천㎡],천㎡,0,0,0,0,1
중구,증여,동(호)수[동(호)수],동(호)수,363,320,340,166,97
중구,증여,면적[천㎡],천㎡,31,24,15,12,5
중구,분양권,동(호)수[동(호)수],동(호)수,,,,,0
중구,분양권,면적[천㎡],천㎡,,,,,0
중구,분양권전매,동(호)수[동(호)수],동(호)수,33,28,0,43,23
중구,분양권전매,면적[천㎡],천㎡,2,2,0,2,1
중구,기타,동(호)수[동(호)수],동(호)수,,,,,0
중구,기타,면적[천㎡],천㎡,,,,,0
중구,기타소유권이전,동(호)수[동(호)수],동(호)수,1016,931,743,75,101
중구,기타소유권이전,면적[천㎡],천㎡,43,34,35,3,4
중구,주택유형,동(호)수[동(호)수],동(호)수,3399,2626,1806,1235,1565
중구,주택유형,면적[천㎡],천㎡,230,163,96,88,109
중구,단독주택,동(호)수[동(호)수],동(호)수,465,332,215,177,197
중구,단독주택,면적[천㎡],천㎡,41,41,18,21,20
중구,다가구주택,동(호)수[동(호)수],동(호)수,53,41,23,30,23
중구,다가구주택,면적[천㎡],천㎡,16,8,6,7,4
중구,다세대주택,동(호)수[동(호)수],동(호)수,636,479,414,265,337
중구,다세대주택,면적[천㎡],천㎡,25,18,16,10,12
중구,연립주택,동(호)수[동(호)수],동(호)수,111,120,58,49,53
중구,연립주택,면적[천㎡],천㎡,9,9,3,3,4
중구,아파트,동(호)수[동(호)수],동(호)수,2134,1654,1096,714,955
중구,아파트,면적[천㎡],천㎡,140,86,53,48,70
용산구,매입자거주지,동(호)수[동(호)수],동(호)수,7622,4977,2945,2164,3025
용산구,매입자거주지,면적[천㎡],천㎡,628,443,206,167,249
용산구,관할 시군구내,동(호)수[동(호)수],동(호)수,1703,1355,706,531,723
용산구,관할 시군구내,면적[천㎡],천㎡,206,167,61,50,69
용산구,관할 시도내,동(호)수[동(호)수],동(호)수,3947,2034,1232,966,1335
용산구,관할 시도내,면적[천㎡],천㎡,274,166,81,72,110
용산구,관할 시도외 서울,동(호)수[동(호)수],동(호)수,0,0,0,0,0
용산구,관할 시도외 서울,면적[천㎡],천㎡,0,0,0,0,0
용산구,관할 시도외 기타,동(호)수[동(호)수],동(호)수,1972,1588,1007,667,967
용산구,관할 시도외 기타,면적[천㎡],천㎡,147,109,64,45,70
용산구,거래주체,동(호)수[동(호)수],동(호)수,7622,4977,2945,2164,3025
용산구,거래주체,면적[천㎡],천㎡,628,443,206,167,249
용산구,개인->개인,동(호)수[동(호)수],동(호)수,5352,3897,2068,1475,2503
용산구,개인->개인,면적[천㎡],천㎡,473,293,143,113,203
용산구,개인->법인,동(호)수[동(호)수],동(호)수,262,216,143,173,69
용산구,개인->법인,면적[천㎡],천㎡,37,39,27,23,15
용산구,개인->기타,동(호)수[동(호)수],동(호)수,45,25,9,7,8
용산구,개인->기타,면적[천㎡],천㎡,4,3,1,1,1
용산구,법인->개인,동(호)수[동(호)수],동(호)수,671,744,461,370,281
용산구,법인->개인,면적[천㎡],천㎡,47,98,20,22,15
용산구,법인->법인,동(호)수[동(호)수],동(호)수,701,34,119,24,25
용산구,법인->법인,면적[천㎡],천㎡,41,4,9,2,4
용산구,법인->기타,동(호)수[동(호)수],동(호)수,502,3,107,87,17
용산구,법인->기타,면적[천㎡],천㎡,17,0,4,3,1
